city,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001,2011
Cherthala U A,0,0,4781,5940,6765,7116,31155,36752,61560,260572,259652,455722
Phusro U A,0,0,0,0,23310,36371,60208,69321,101946,142585,174402,185555
Chandigarh  U A,0,0,0,0,0,0,99262,232940,422841,575829,808515,970602
Palwal U A,12830,9485,9352,10807,13606,13915,27863,36207,47328,59168,100722,131926
Kothamangalam U A,0,0,4517,5626,9079,17816,22900,28671,58435,63130,66419,114639
Munger,35880,46913,46825,52863,63150,74348,89768,102474,129260,150112,188050,213303
Coimbatore U A,53080,47007,75491,108023,189612,287334,453601,736203,920355,1100746,1601194,2136916
Baraut,7703,7776,9304,9390,11464,16928,22818,31264,46292,67705,85708,103764
Imphal U A,72234,74650,80003,85804,99716,2862,67717,100366,179194,237285,296239,418739
Haldia,0,0,0,0,0,0,0,9968,21122,100347,170673,200827
Puducherry  U A,0,0,0,0,0,0,51762,154945,251420,401437,505959,657209
Siliguri U A,0,0,0,6067,10487,32480,65471,97484,230780,364167,472374,705579
Banswara U A,7038,7665,8588,10444,12772,15558,19566,27363,48070,67908,87308,101017
Satara U A,26022,19145,22454,26379,36405,41070,48709,66433,83336,95180,129552,149335
Vijayawada U A,31926,41614,54104,71399,99501,186394,269536,395084,613722,845756,1039518,1476931
Chalakudy U A,0,0,0,5886,7429,10847,16864,37562,41894,61672,65835,114863
Alappuzha U A,24918,25665,32074,43838,56333,116278,138834,160166,169940,227716,239384,240991
Botad,8857,9324,9815,12915,15842,19558,26168,32179,50274,64603,100194,130327
Ganganagar U A,0,0,0,9943,16136,36437,63854,90042,123692,161482,222858,249914
Amravati,50370,51708,57841,70766,90346,124064,161715,221277,293755,421576,549510,647057
Hyderabad U A,448466,502104,405630,466894,739159,1135758,1254941,1815117,2607770,4344437,5756729,7677018
Azamgarh U A,18835,10834,14788,18046,24307,26632,32391,40963,66523,78567,93521,116172
Shimoga,6240,13118,15090,20661,27712,46524,63764,102709,151783,193028,274352,322650
Biharsharif,45063,35151,36720,46994,54551,63124,78581,100046,151343,201323,232071,297268
Jodhpur U A,79109,79756,73480,94736,126842,180717,224760,317612,506345,666279,860818,1138300
Satna U A,7471,7192,7998,11176,11575,20183,38046,62162,96667,160500,229307,282977
Visakhapatnam,40892,43413,44711,57303,70243,108042,211190,363467,603630,1044119,1345938,1728128
Gondiya,0,5847,10617,14957,20320,36686,56320,77992,100423,109470,120902,132813
Jalandhar U A,67735,69318,71008,89030,135283,168816,222569,296106,408196,509510,714077,874412
Barnala,6905,5341,7714,8915,12341,15996,21354,31847,43680,75430,96624,116449
Ahmadnagar U A,40809,39184,49878,57529,70418,105275,119020,148405,181210,222088,355169,379845
Vadodara U A,103790,99345,94712,112860,153301,211407,309716,478524,776182,1127903,1491045,1822221
Palanpur U A,17799,17221,17843,20347,21643,22629,29139,42114,61262,90269,122300,141592
Guntur U A,30833,40529,48184,65179,83599,125255,187122,269991,367699,471051,514461,670073
Raurkela   U A,0,0,0,0,0,0,90287,172502,322610,398864,484874,552239
Buxar U A,13945,11309,10098,13449,14879,18087,23068,31691,42952,55753,83168,110881
Phagwara U A,17147,11779,11395,12049,16194,25591,37929,55012,75961,88316,102253,117966
Saharanpur,66254,62850,62261,78655,105622,148435,185213,225396,295355,374945,455754,705478
Hoshiarpur,17549,17449,21285,26730,35345,45291,50739,57691,85648,122705,149668,168653
Bagaha,0,0,0,0,0,5820,19411,25344,32597,64627,91467,112634
Amroha,41071,42410,40448,44948,55957,59105,68965,82702,112682,137061,165129,198471
Nizamabad,12871,17353,15672,18809,32741,55195,79093,115640,183061,241034,288722,311152
Hathras U A,42578,37854,38763,39784,46994,56619,64045,74349,92962,113285,126355,160909
Korba U A,0,0,0,0,0,0,12424,32654,83387,146727,315690,365253
Patan U A,31402,28339,27017,29830,36549,43044,51953,64519,79196,97025,113749,133737
Allahabad U A,172032,171697,157220,183914,260630,332295,430730,513036,650070,844546,1042229,1212395
Udaipur U A,45976,33229,34789,44035,59648,89621,111139,161278,232588,308571,389438,474531
Jetpur Navagadh,15919,16513,18694,22973,28406,28444,31186,41943,63074,95297,104312,118302
Bhusawal U A,16363,15258,24522,27865,36352,54346,79121,104708,132142,159799,187564,203774
Bhiwandi U A,10354,13292,12188,15619,18776,25764,47630,79576,170599,392214,621427,735681
Warangal U A,10487,48342,46791,62119,92808,133130,156106,207520,335150,467757,579216,753438
Gwalior U A,138612,84458,113684,126949,182492,241577,300587,406140,555862,717780,865548,1102884
Hubli Dharwad,81143,91031,100992,124398,143504,196180,248489,379166,527108,648298,786195,943788
Rajkot U A,36151,34194,45845,59112,66353,132069,194145,300612,445076,654490,1003015,1390640
Lalitpur,11560,12449,11504,13715,16881,20792,25220,34462,55756,79870,111892,133305
Rampur U A,78758,74316,73156,74216,89322,134277,135407,161417,204610,243742,281494,349258
Narasaraopet U A,7108,8743,11308,15403,17644,22243,29744,43467,67032,88726,95349,117489
