city,lat,long
Cherthala U A,9.740204,76.33246715541219
Phusro U A,23.7678684,85.9873831
Chandigarh  U A,30.7334421,76.7797143
Palwal U A,28.12502575,77.35831300773046
Kothamangalam U A,10.13328035,76.73649796309834
Munger,25.22081165,86.51720367235285
Coimbatore U A,11.0018115,76.9628425
Baraut,29.154147700000003,77.30595350833059
Imphal U A,24.8006088,93.9369998
Haldia,22.028124,88.0632655
Puducherry  U A,11.9340568,79.8306447
Siliguri U A,26.714547,88.43972157930162
Banswara U A,23.4930788,74.34840231310622
Satara U A,17.63612885,74.29827807601782
Vijayawada U A,16.5087586,80.6185102
Chalakudy U A,10.3039878,76.3360706
Alappuzha U A,9.48818445,76.4126940376799
Botad,22.1686,71.6685
Ganganagar U A,23.7497214,91.87663495294915
Amravati,21.15454115,77.64429617998744
Hyderabad U A,17.3616079,78.4746286
Azamgarh U A,26.02269675,83.02887343114848
Shimoga,13.9311723,75.569737
Biharsharif,25.2053052,85.5146116
Jodhpur U A,26.2967719,73.0351433
Satna U A,24.5,81.0
Visakhapatnam,17.7231276,83.3012842
Gondiya,21.1456285,80.26838674856234
Jalandhar U A,31.29201065,75.56805772253911
Barnala,30.3704685,75.504017418548
Ahmadnagar U A,19.25,74.75
Vadodara U A,22.2973142,73.1942567
Palanpur U A,24.1709794,72.4366375
Guntur U A,16.2915189,80.4541588
Raurkela   U A,22.21428495,84.87243686998576
Buxar U A,25.562071500000002,84.01567204651289
Phagwara U A,31.2206734,75.7696463
Saharanpur,29.9880774,77.5081299470512
Hoshiarpur,31.60857425,75.84644246890946
Bagaha,27.05901115,84.20646375475478
Amroha,28.9233969,78.48831693262684
Nizamabad,26.055317950000003,82.99313867937335
Hathras U A,27.57324325,78.11173866751716
Korba U A,22.51976955,82.62951462416818
Patan U A,23.77405735,71.68373465668734
Allahabad U A,25.4381302,81.8338005
Udaipur U A,24.578721,73.6862571
Jetpur Navagadh,21.7640195,70.6166597
Bhusawal U A,20.99327605,75.83998255383139
Bhiwandi U A,19.362530800000002,73.07847467842203
Warangal U A,17.9806094,79.5982115
Gwalior U A,26.2037247,78.1573628
Hubli Dharwad,15.3518378,75.1379848
Rajkot U A,22.3051991,70.8028335
Lalitpur,24.70038485,78.51866758648349
Rampur U A,28.79406825,79.1859304458554
Narasaraopet U A,16.2389242,80.0472879
Kothagudem U A,17.5456307,80.6116162
Rewa,24.75926685,81.65500021078341
Panipat U A,29.3912753,76.9771675
Parbhani,19.29031365,76.60290343431203
Jhunjhunun,28.079689549999998,75.5417679584636
Saharsa,25.83264165,86.61489283342814
Hindupur,13.826383,77.4937723
Hardoi U A,27.33857665,80.0975264641719
Mathura U A,27.633333,77.583333
Kamptee U A,21.2170645,79.1964178
Sitapur U A,27.5046392,80.82946583420815
Kishanganj,26.29863795,87.95314810923409
Khanna,25.5656914,80.0634887
Kota,25.1968256,76.00089330885552
Karur U A,10.9301522,78.08485454572889
Anantnag U A,33.746109950000005,75.18544753143254
Arrah,25.62345725,84.59683868653386
Kaithal,29.74477075,76.35092772284784
Nadiad U A,22.6895073,72.8715199
Sagar U A,23.80961225,78.75911360578634
Etawah,26.718324350000003,79.09025375025163
Rajnandgaon,20.9727404,80.69155548263583
Thanesar,29.993039500000002,76.82922282678291
Bilaspur U A,28.8680526,79.29838501460121
Aurangabad,19.877263,75.3390241
Haldwani,29.2151635,79.5266898
Pathankot U A,32.301710400000005,75.65864246622084
Achalpur,21.241444700000002,77.42575731097946
Miryalaguda UA,16.8709882,79.5613977
Raiganj U A,25.680653900000003,88.12464576019889
Etah U A,27.5541146,78.60078640304634
Raichur,16.083333,77.166667
Silchar U A,24.817861100000002,92.75622075294373
Shamli,29.5008816,77.34838258540861
Tirupati  U A,13.6316368,79.4231711
Nellore U A,14.4493717,79.9873763
Dindigul U A,10.3303299,78.0673979084697
Chirala U A,15.8361517,80.3636644
Nagaon U A,26.30414915,92.71605974430346
Orai U A,25.9359555,79.42432768008604
Chhindwara U A,22.139831049999998,78.80964495467987
Thoothukkudi U A,8.756745200000001,78.07975266019861
Barddhaman U A,23.25,87.75
Vaniyambadi UA,12.610081749999999,78.75987014206322
Chhatarpur U A,24.75,79.75
Lucknow U A,26.8381,80.9346001
Jabalpur U A,23.1608938,79.9497702
Khammam U A,17.5,80.333333
Bijapur,18.769041350000002,80.74151192966231
Port Blair,11.6645348,92.7390448
Dehradun U A,30.3255646,78.0436813
Gangapur City U A,26.4681809,76.7266811
Pune U A,18.521428,73.8544541
Ongole U A,15.5075545,80.06078519263741
Mysore U  A,12.3090345,76.6844135
Dankuni U A,22.6820899,88.2907444
Unnao,26.57550365,80.61376177782856
Bhiwadi,28.2039413,76.837441
Gudiyatham UA,12.95797185,78.76767510274176
Kanpur U A,26.4609135,80.3217588
Belgaum U A,15.8572666,74.5069343
Pithampur,22.6105576,75.6790283
Durg Bhilai U A,21.1955354,81.3068243
Bongaon  M,23.056882299999998,88.78185095417805
Medinipur,25.5724333,83.6096053
Ambikapur U A,23.1226343,83.1981886
English Bazar U A,24.965712250000003,88.1277781318015
Sirsa,29.583333,75.083333
Mughalsarai U A,25.3015095,83.172958
Gondal,21.9721823,70.7955235
Neemuch U A,24.63044655,75.18339614635457
Sultanpur U A,26.242510850000002,82.29616931685918
Chilakaluripet,16.0949502,80.1658779
Mahbubnagar U A,16.7434538,77.9923191
Purnia U A,25.7773601,87.4731227
Malegaon U A,20.590250150000003,74.5714979275197
Dibrugarh U A,27.4844597,94.9019447
Kharagpur U A,25.133173050000003,86.52504036339789
Gangawati U A,15.4315062,76.5327743
Itarsi UA,22.6124961,77.762753
Kakinada U A,16.9437385,82.2350607
Valsad U A,20.4324018,73.1411715553577
Srinagar U A,34.0747444,74.8204443
Solapur,17.84990665,75.27632027348457
Tadepalligudem UA,16.876586500000002,81.54514499050143
Aligarh U A,27.87698975,78.13729027600994
Ambala,30.3843674,76.770421
Kolkata U A,22.54541245,88.3567751581234
Bhubaneswar  U A,20.2667774,85.8435592
Sawai Madhopur,26.22914115,76.30453277017932
Begusarai,25.5127194,86.09057109140021
Abohar,30.1450543,74.1956597
Bhopal U A,23.2584857,77.401989
Jammu   U A,32.7185614,74.8580917
Anand U A,22.5584995,72.9625629
Balurghat U A,25.2634866,88.78900293567636
Mirzapur Vindhyachal U A,25.1643804,82.5043173
Gonda U A,27.1096669,81.9183291218813
Kasganj,27.883846050000002,78.63489003747873
Adilabad U A,19.5,78.5
Bhilwara,25.48877345,74.69961283584024
Gaya U A,24.7964355,85.0079563
Hisar U A,29.168807,75.7461103
Nabadwip U A,23.3889007,88.37243900644481
Yamunanagar U A,30.2112003,77.28638972360895
Dhaulpur U A,26.6533959,77.62420559295163
Kottayam U A,9.62857045,76.6455250291479
Pollachi U A,10.6693538,77.01016831533052
Muktsar,30.283140099999997,74.52299719797392
Damoh U A,23.75,79.583333
Hospet,15.266493,76.3872297
Alwar U A,27.639077049999997,76.6144524902045
Nagda,23.4578957,75.4191114
Mubarakpur U A,26.0875514,83.2905851
Jorhat U A,26.7577925,94.2079645
Malappuram U A,11.10684475,76.10995510466662
Bulandshahar U A,28.5246712,77.5996529
Greater Noida,28.4670734,77.5137649
Hosur U A,12.7328844,77.8309478
Ludhiana,30.9090157,75.851601
Nandurbar,21.365998949999998,74.28400358178766
Rishikesh UA,30.1086537,78.2916193
Gadag,15.4263647,75.6300786
Ghaziabad U A,28.711241,77.4445372
